"","cjspolb","cjscpsb","cjscrt2a","cjscrt2b","cjsps1b","cjsps2b"
"1","Not very confident","Fairly confident","Not very confident","Not very confident","Not at all confident","Not at all confident"
"2","Fairly confident","Not very confident","Fairly confident","Not very confident","Fairly confident","Not very confident"
"3","Fairly confident","Fairly confident","Fairly confident","Not very confident","Not very confident","Fairly confident"
"4","Fairly confident","Fairly confident","Not very confident","Not very confident","Not very confident","Not very confident"
"5","Very confident","Not at all confident","Not very confident","Not at all confident","Not very confident","Not very confident"
"6","Fairly confident","Fairly confident","Fairly confident","Fairly confident","Not very confident","Not very confident"
"7","Not very confident","Fairly confident","Fairly confident","Fairly confident","Not very confident","Not very confident"
"8","Fairly confident","Fairly confident","Not very confident","Not very confident","Not very confident","Not very confident"
"9","Fairly confident","Fairly confident","Fairly confident","Fairly confident","Fairly confident","Not at all confident"
"10","Not very confident","Not very confident","Not at all confident","Not at all confident","Not very confident","Not very confident"
