,id,created_at,text,favorite_count,retweet_count,reply_count,hashtags
1,9.19E+17,13/10/17 19:43,@bigissuenorth Useful meeting today with partners @BigIssueNorth more details on our FB page https://t.co/8GZCHfCdjx',5,1,21,[]
2,9.19E+17,13/10/17 17:39,"We encourage city beggars to sell @BigIssueNorth as increases self-confidence &amp; motivates change. Can direct bgrs to 116 Tib St, NQ #strVul'",35,8,45,"[{'text': 'strVul', 'indices': [136, 143]}]"
3,9.19E+17,13/10/17 17:13,"@Hades36211353 Insp S - Did you actually read the link, which said where raids were carried out?'",0,0,35,[]
4,9.19E+17,13/10/17 14:52,Police are investigating a fail to stop collision that left a 79-year-old man with life changing injuries: https://t.co/A9lAC9pYNL',1,1,55,[]
5,9.19E+17,13/10/17 14:50,Week of action sees crackdown on counterfeit goods: https://t.co/bTSk2sMjrh',5,0,45,[]
6,9.19E+17,13/10/17 11:46,"@JWontObey Insp S - cops paid for traps, put them down before work, then went out fighting crime/protecting people.\xe2\x80\xa6 https://t.co/5JpLRSM0jK'",16,0,59,[]
7,9.19E+17,13/10/17 11:12,"Another pic of the 'ickle mouse nesting in Boss's kit bag, and laughing at the 30 cops in office sweepstake who hav\xe2\x80\xa6 https://t.co/rFAz7Sanur""",75,4,54,[]
8,9.19E+17,13/10/17 09:52,This mouse is causing a near riot in our office (Leave it vs Catch it)  after taking up home in a public order kit\xe2\x80\xa6 https://t.co/gIrLPoTyLg',144,19,50,[]
9,9.19E+17,13/10/17 09:48,@HEPPY_BOI Perhaps our colleagues at @GMPLeigh can follow up with you?',0,0,49,[]
10,9.19E+17,12/10/17 19:28,Can you help? @BarnabusMcr https://t.co/hCTWrPCF7V',10,18,46,[]
11,9.19E+17,12/10/17 18:50,@WhalleyRangeorg @AngelikiStg @ReachOut_Com @bodanbabe @Nacro @MCCWhalleyRange See our FB for more details:\xe2\x80\xa6 https://t.co/Ba22BIzNTV',7,5,51,[]
12,9.19E+17,12/10/17 17:38,Great meeting @WhalleyRangeorg @AngelikiStg @ReachOut_Com @bodanbabe @Nacro @MCCWhalleyRange sharing ideas homeless support/issues #strVul',11,4,38,"[{'text': 'strVul', 'indices': [131, 138]}]"
13,9.18E+17,12/10/17 14:59,"@lakeshaun That's great - see the @streetsupportuk link for how you can help: https://t.co/nfUBaAgmWp""",1,0,56,[]
14,9.18E+17,12/10/17 14:57,"@Jon_Col @MENnewsdesk @Jon_Col Why not follow @NPASBarton as they often say what they're up to?""",1,0,46,[]
15,9.18E+17,12/10/17 14:54,@mcrshield Insp S - email me so I can link you in with GMP + council events staff - phil.spurgeon@gmp.police.uk',1,0,42,[]
16,9.18E+17,12/10/17 09:23,"Several shoplifters detained yesterday.\n\nItems stolen included e-cigs, make up, a fancy dress costume and a box of\xe2\x80\xa6 https://t.co/IzJCUEwgQN'",11,2,46,[]
17,9.18E+17,12/10/17 07:29,"8.20am - 1st shoplifter of the day.\n\nMan detained stealing \xc2\xa3250 worth of women's cardigans https://t.co/ii3xe5Cg48""",37,6,68,[]
18,9.18E+17,12/10/17 06:52,Another Piccadilly Gardens drug dealer sentenced + banned by #OpMandera team. See our Facebook for details: https://t.co/fmWYxKF4Te',13,4,32,"[{'text': 'OpMandera', 'indices': [61, 71]}]"
19,9.18E+17,12/10/17 06:20,Arrests overnight include man seen trying car door handles in car park. Detained after foot chase; found with glass\xe2\x80\xa6 https://t.co/SsxbcukIiC',20,3,46,[]
20,9.18E+17,11/10/17 22:58,RT @BarnabusMcr: Great opportunity to share with students @ManMetUni this afternoon encouraging #volunteering to help us #endhomelessnessMc\xe2\x80\xa6',0,6,51,"[{'text': 'volunteering', 'indices': [96, 109]}]"
21,9.18E+17,11/10/17 21:15,@LifeShare @Coffee4Craig @BoothCentre @MustardTreeMCR @inspchangemanc &amp; of course @BarnabusMcr',5,2,44,[]
22,9.18E+17,11/10/17 21:08,Giving a tent to r/sleeper? Before pls consult @Lifeshare @Coffee4Craig @BoothCentre @MustardTreeMcr @inspchangemanc https://t.co/9Bep1S2Py9',13,16,45,[]
23,9.18E+17,11/10/17 18:09,@HEPPY_BOI We are sorry to hear that your car has been broken into.',0,0,53,[]
24,9.18E+17,11/10/17 18:07,@DaisyEAW Insp S - email me. Phil.spurgeon@gmp.police.uk',0,0,52,[]
25,9.18E+17,11/10/17 14:21,"@MarkTBBFleming Insp S - only had a quick look, but think it's lockable""",0,0,43,[]
26,9.18E+17,11/10/17 11:29,"@Stubbs89 Damage, then blades article'",1,0,55,[]
27,9.18E+17,11/10/17 10:25,Another knife off our streets.\n\nThis taken from man arrested in Cathedral Gardens at 10am. https://t.co/Je4Z2pYVA7',29,6,51,[]
28,9.18E+17,11/10/17 08:55,"@Jon_Col @MENnewsdesk Just as well you didn't leave the landing light on...""",0,0,56,[]
29,9.18E+17,11/10/17 07:33,"16 yr old charged overnight with racial public order, receiving stolen good, affray and assault. He appears in cour\xe2\x80\xa6 https://t.co/ICVHKbY7ga'",14,4,36,[]
30,9.18E+17,10/10/17 19:47,RT @BarnabusMcr: On this #WorldHomelessnessDay here is an update on the Manchester Homelessness Charter: https://t.co/qExtFsR3qM  #bigchang\xe2\x80\xa6',0,5,42,"[{'text': 'WorldHomelessnessDay', 'indices': [25, 46]}]"
31,9.18E+17,10/10/17 17:37,"You're Hired!\n\nGMP welcomes 91 new apprentices: https://t.co/kDuZfP1qZo""",20,0,48,[]
32,9.18E+17,10/10/17 17:35,Six men have been jailed for more than 100 years for conspiring to shoot a rival gang https://t.co/JC3x84jzps',27,6,59,[]
33,9.18E+17,09/10/17 23:12,"Police visiting homeless drop-in @Coffee4Craig, NQ, located a vulnerable missing teenager &amp; made sure they got back home #streetVulnerable'",56,14,44,"[{'text': 'streetVulnerable', 'indices': [125, 142]}]"
34,9.17E+17,09/10/17 18:04,"@Swipebush @streetsupportuk @BoothCentre @MustardTreeMCR @ManCityCouncil Thanks, do you have better description, cl\xe2\x80\xa6 https://t.co/5dB4cjstYV'",0,0,39,[]
35,9.17E+17,09/10/17 17:47,@streetsupportuk @BoothCentre @MustardTreeMCR @ManCityCouncil We want to work better together supporting r/sleepers\xe2\x80\xa6 https://t.co/6M5ozEuZsi',12,6,57,[]
36,9.17E+17,09/10/17 16:21,Today great meeting partners @streetsupportuk @BoothCentre @MustardTreeMCR @ManCityCouncil working to #endHomelessness #streetVulnerable',31,8,54,"[{'text': 'endHomelessness', 'indices': [102, 118]}, {'text': 'streetVulnerable', 'indices': [119, 136]}]"
37,9.17E+17,09/10/17 12:04,"@CharlieBolton Insp S - Sorry you couldn't get through quickly on 101, and that we didn't pick Tweet up quickly either""",0,0,37,[]
38,9.17E+17,09/10/17 11:18,"Continuing our theme of expensive motors seized for no insurance, we love #lamboseizey from Groom by @WYP_RPU https://t.co/xCm1v1nPDv'",8,2,70,"[{'text': 'lamboseizey', 'indices': [74, 86]}]"
39,9.17E+17,09/10/17 11:09,Witness appeal after collision leaves 5 year old in a critical condition in Salford: https://t.co/kqHQqIoGYY',1,8,64,[]
40,9.17E+17,08/10/17 20:30,"@madjo13 Don't worry, we still arrested 5 'crooks' last night. Would be a shame if we couldn't spend a minute with\xe2\x80\xa6 https://t.co/ABR1jMSSfG""",7,0,36,[]
41,9.17E+17,08/10/17 14:37,@MancVintage73 Think they used #askgmp so you can at least catch up with the q &amp; a',2,1,71,"[{'text': 'askgmp', 'indices': [31, 38]}]"
42,9.17E+17,08/10/17 11:08,Mercedes AMG seized in Northern Quarter at 1am after driver found to be uninsured https://t.co/Ze9QoaDVAx',27,3,32,[]
43,9.17E+17,08/10/17 10:17,We found these funky chickens in the Northern Quarter at Midnight. Insert own caption... https://t.co/tPu4Dz6jM0',80,14,51,[]
44,9.17E+17,08/10/17 09:11,"The drunk man in this van stripped to his undies on Withy Grove at 5am. It wasn't a pleasant sight, so we took him\xe2\x80\xa6 https://t.co/SaSskthoAo""",30,4,38,[]
45,9.17E+17,07/10/17 20:09,"@jacquicotter Thanks - you enjoy what's left of the weekend, whatever you're up to""",0,0,46,[]
46,9.17E+17,07/10/17 19:29,"@1Cunionsandphey Not illegal per se, but may be public order, decency or drunkenness crime. See link for work we di\xe2\x80\xa6 https://t.co/R5G7rbDW9M'",1,0,46,[]
47,9.17E+17,07/10/17 19:07,@twist0161 Its a stock photo / library image / posed by model',4,0,53,[]
48,9.17E+17,07/10/17 19:00,"18 yr old aggressive female arrested 5am Richmond St D&amp;D after abusing officers &amp; urinating in the street, was caut\xe2\x80\xa6 https://t.co/OXV5BcgcRX'",12,4,38,[]
49,9.17E+17,07/10/17 18:51,"@mcr_thfc 'When the big hand...' You have a great weekend, whatever you're up to""",3,1,22,[]
50,9.17E+17,07/10/17 18:49,"7.30pm - Woman arrested in Piccadilly for racial public order &amp; police assault (spitting), after report of disturba\xe2\x80\xa6 https://t.co/Cf6FzxuPf1'",2,2,49,[]
51,9.17E+17,07/10/17 18:46,"Insp S - OK, OK...11am Sat'",9,0,42,[]
52,9.17E+17,07/10/17 18:35,"We've been targeting dealers again today. Man &amp; woman arrested 11pm on Smithy Lane with 60 wraps of what we suspect\xe2\x80\xa6 https://t.co/HtiKvXShB3""",46,7,52,[]
53,9.17E+17,07/10/17 18:33,@Cereal_Boy_ insp S - I can live with that! The advice (especially about your mates) is absolutely heartfelt though\xe2\x80\xa6 https://t.co/0fm4E60K6t',4,0,41,[]
54,9.17E+17,07/10/17 18:28,"Out tonight?\n\nPlease, please:\n\n- Look after yourself\n\n- Look after your mates\n\n- Look after your stuff\n\nHave a grea\xe2\x80\xa6 https://t.co/pUvIea225a'",145,42,57,[]
55,9.17E+17,07/10/17 05:56,...due to ongoing police incident @OfficialTfGM',0,0,50,[]
56,9.17E+17,07/10/17 05:06,Bentley seized at 5am on Corporation St after the driver was found to be uninsured for this car https://t.co/Qt7Og9XCug',72,8,56,[]
